Sno,Province,District,Stunting-MICS,"WASTING
(MICS)",Exclusive breasfeeding,Access to electricity,Households with a telephone,Households with a computer/ Laptop/ Tablet,Households with internet,Ownership of mobile phone women,ICT skills Women (15-49),Neonatal mortality rate  (per thousands),Infant Mortality Rate (per thousands),ANC (Health Professional),Antenatal care coverage-Atleast 4 times by any provider,Skilled attendant at delivery,Institutional deliveries,"DTP, HepB and Hib (PENTA) immunization coverage",Measles immunization coverage,No Vaccination,Early Initiation Breasfeeding (1hour),Net attendance-Primary,OOSC  (primary),Birth registration,Child labour,Basic drinking water facility,Acess to safe drinking water,Basic sanitation,Open Defecation,Minimum Acceptabe Diet (MAD) All children,Zero dose (no DTP3),Content of antenatal care,Skin to skin Care,Literacy rate women (15-49),Women having births last 2-yrs,Improved main material for roof,Improved main material for floor,Improved main material for wall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KP,Abbotabad,24.9,3.9,53.4,99.7,98.0,14.9,17.2,65.1,25.6,14.0,22.6,89.1,71.5,77.3,72.5,82.3,76.2,12.4,16.9,72.6,8.6,74.6,1.5,83.3,2.8,89.7,0.8,31.6,12.4,82.6,1.1,74.2,15.8,83.8,86.3,84.3
2,KP,Bajor,42.6,12.2,73.7,99.4,98.5,2.8,3.5,29.8,10.1,16.0,21.8,46.7,33.3,53.6,49.1,51.5,37.7,31.7,43.1,29.3,58.4,9.3,4.9,81.5,16.7,55.3,22.5,16.8,41.7,37.2,0.5,9.5,26.9,12.6,44.8,32.3
3,KP,Bannu,38.3,14.7,33.1,96.5,95.0,5.9,21.6,22.5,14.7,33.0,55.5,60.8,17.5,74.6,60.7,14.7,9.2,35.9,11.8,41.2,35.3,9.8,6.9,90.0,5.5,67.6,20.3,3.4,58.3,36.5,0.8,27.0,24.3,22.5,76.5,62.1
4,KP,Batagram,45.2,7.9,16.4,95.2,92.0,1.8,2.8,35.8,4.5,25.9,43.3,31.1,17.8,56.1,52.2,23.9,11.4,37.5,14.4,24.2,63.3,8.6,3.5,72.3,2.0,64.2,24.1,5.6,56.8,22.2,0.0,10.6,21.4,34.7,67.3,44.8
5,KP,Buner,36.4,9.4,65.2,93.9,95.4,4.4,19.4,27.8,12.4,26.8,43.5,86.2,67.5,94.7,86.4,77.6,42.6,14.7,7.8,52.0,29.1,34.2,4.8,78.8,16.7,75.6,11.2,12.1,18.2,70.2,1.8,25.4,24.6,50.5,79.4,71.5
6,KP,Charsadda,35.0,9.4,62.1,99.5,93.0,7.7,29.6,30.3,8.0,27.2,34.9,79.3,43.7,93.5,72.6,81.3,35.7,8.7,12.7,50.7,20.5,29.5,6.3,96.5,31.3,85.6,3.8,4.6,11.3,55.6,0.0,34.0,25.7,29.8,72.6,84.8
7,KP,Chitral,46.6,10.3,49.2,97.8,95.9,8.9,6.2,46.8,7.3,30.7,41.0,80.7,35.0,72.6,64.8,95.8,76.9,0.7,37.3,64.1,15.4,48.4,5.1,84.1,13.4,87.7,8.2,24.8,2.1,77.4,3.1,53.6,21.2,37.5,56.6,17.3
8,KP,Upper Chitral,46.6,10.3,49.2,97.8,95.9,8.9,6.2,46.8,7.3,30.7,41.0,80.7,35.0,72.6,64.8,95.8,76.9,0.7,37.3,64.1,15.4,48.4,5.1,84.1,13.4,87.7,8.2,24.8,2.1,77.4,3.1,53.6,21.2,37.5,56.6,17.3
9,KP,Dera Ismail Khan,40.6,32.4,45.2,97.9,91.7,5.1,8.9,22.5,9.2,18.8,31.4,54.1,23.6,58.6,49.1,34.9,15.2,28.5,24.1,45.8,38.0,12.8,4.7,85.4,16.5,70.6,7.8,0.7,50.3,25.8,0.9,26.3,21.4,30.8,58.2,52.1
